"","Face_response","Face_confidence","Face_Onset_Time","Face_Position","Noise_Number","Face_Size","Opacity","Direction_Report","subnumber","block_number"
"1059",1,4,91.3934367809998,7,125,8,0.6,2,"8MPV3",3
"1060",1,1,95.8578274549946,7,54,9,0.1,1,"8MPV3",3
"1061",1,3,0.0195384440012276,5,247,6,0.4,2,"8MPV3",4
"1062",1,1,5.24232606499572,-5,226,6,0.2,1,"8MPV3",4
"1063",1,4,10.5539758049999,5,416,7,0.6,2,"8MPV3",4
"1064",1,4,15.280713731001,-5,107,8,0.7,1,"8MPV3",4
"1065",1,4,20.3449909030023,5,186,7,0.3,2,"8MPV3",4
"1066",1,1,25.3381455779891,7,159,6,0.1,0,"8MPV3",4
"1067",1,4,33.4900353179983,5,370,7,0.5,2,"8MPV3",4
"1068",1,4,38.3305546310003,7,375,7,0.4,2,"8MPV3",4
"1069",1,2,42.7534815459949,-7,370,8,0.2,1,"8MPV3",4
"1070",1,4,47.3061204739934,-7,18,8,0.6,1,"8MPV3",4
"1071",1,4,51.5295671159984,-5,337,6,0.7,1,"8MPV3",4
"1072",1,3,55.9054345019977,-7,250,8,0.3,1,"8MPV3",4
"1073",1,1,60.3536526829994,-7,404,6,0.1,2,"8MPV3",4
"1074",1,4,65.2981436419941,7,31,7,0.5,2,"8MPV3",4
"1075",1,3,71.2651860659971,-5,148,7,0.4,1,"8MPV3",4
"1076",1,3,75.9050584109937,-5,51,8,0.2,1,"8MPV3",4
"1077",1,4,80.6166478469968,-5,375,8,0.6,1,"8MPV3",4
"1078",1,4,84.9859318209928,-5,122,6,0.7,1,"8MPV3",4
"1079",1,1,89.537527316992,-5,392,6,0.3,2,"8MPV3",4
"1080",1,2,95.0513797369931,-7,231,9,0.1,2,"8MPV3",4
"1081",1,4,0.0197209769976325,-7,59,7,0.7,1,"8MPV3",5
"1082",1,2,4.46546282499912,-5,176,9,0.3,1,"8MPV3",5
"1083",1,1,9.24970977699559,-7,197,9,0.2,2,"8MPV3",5
"1084",1,1,14.4251090250036,-5,412,7,0.1,1,"8MPV3",5
"1085",1,4,19.0750031089992,-5,36,6,0.5,1,"8MPV3",5
"1086",1,4,23.7859998780041,-7,298,9,0.6,1,"8MPV3",5
"1087",1,4,28.4732392010046,-7,371,9,0.4,1,"8MPV3",5
"1088",1,4,32.9214170280029,5,31,9,0.7,2,"8MPV3",5
"1089",1,3,37.6498387989996,5,78,9,0.3,2,"8MPV3",5
"1090",1,2,42.7538845689996,-7,101,6,0.2,2,"8MPV3",5
"1091",1,1,47.3136624900071,-5,255,8,0.1,1,"8MPV3",5
"1092",1,4,51.8984450610005,7,412,8,0.5,2,"8MPV3",5
"1093",1,4,56.2742723069969,5,382,9,0.6,2,"8MPV3",5
"1094",1,1,60.6337102700054,7,346,9,0.4,1,"8MPV3",5
"1095",1,4,66.5538718159951,5,91,6,0.7,2,"8MPV3",5
"1096",1,3,71.3065551519976,7,308,9,0.3,2,"8MPV3",5
"1097",1,1,75.6183899489988,-7,271,7,0.2,1,"8MPV3",5
"1098",1,1,80.1781571400061,5,281,9,0.1,1,"8MPV3",5
"1099",1,4,84.5215984189999,5,16,9,0.5,2,"8MPV3",5
"1100",1,4,89.2735832699982,5,212,8,0.6,2,"8MPV3",5
"1101",1,4,0.0182692050002515,5,18,8,0.5,2,"8MPV3",6
"1102",1,3,5.01756282000861,-7,134,7,0.4,1,"8MPV3",6
"1103",1,1,9.36241734900978,-7,356,9,0.3,2,"8MPV3",6
"1104",1,1,14.113104146003,7,309,9,0.1,1,"8MPV3",6
"1105",1,1,18.5936201690056,-5,339,9,0.2,1,"8MPV3",6
"1106",1,4,23.042410834998,7,48,8,0.7,2,"8MPV3",6
"1107",1,4,27.4101432269963,7,361,8,0.6,2,"8MPV3",6
"1108",1,4,31.7618971880001,5,36,8,0.5,2,"8MPV3",6
"1109",1,4,36.1460901020037,5,367,7,0.4,2,"8MPV3",6
"1110",1,1,40.441439318005,-7,212,6,0.3,1,"8MPV3",6
"1111",1,1,45.0252826890064,5,129,8,0.1,1,"8MPV3",6
"1112",1,1,49.5774626619968,-5,361,6,0.2,2,"8MPV3",6
"1113",1,4,54.1609568080021,5,160,6,0.7,2,"8MPV3",6
"1114",1,2,58.6413658370002,5,107,6,0.6,2,"8MPV3",6
"1115",1,4,63.1143783800071,-5,411,8,0.5,1,"8MPV3",6
"1116",1,3,67.489583675997,-5,94,8,0.4,1,"8MPV3",6
"1117",1,1,71.8809759430005,-5,111,6,0.3,1,"8MPV3",6
"1118",1,1,76.7850705120072,-7,174,8,0.1,1,"8MPV3",6
"1119",1,1,81.2898020779976,7,171,6,0.2,2,"8MPV3",6
"1120",1,4,85.6968976790085,-5,223,9,0.7,1,"8MPV3",6
"1121",1,1,0.0309398780000265,5,152,6,0.1,1,"9MPV3",0
"1122",1,2,5.92818250100026,-7,157,9,0.2,1,"9MPV3",0
"1123",1,4,10.9101921179999,-5,252,6,0.7,1,"9MPV3",0
"1124",1,4,16.0534214150002,-7,341,6,0.5,1,"9MPV3",0
"1125",1,4,20.6299028859999,-5,281,8,0.6,1,"9MPV3",0
"1126",1,4,25.0696223519999,-5,99,9,0.3,1,"9MPV3",0
"1127",1,4,29.537151863,5,346,6,0.4,2,"9MPV3",0
"1128",1,2,34.020240326,-5,87,7,0.1,1,"9MPV3",0
"1129",1,3,39.15112929,5,145,8,0.2,2,"9MPV3",0
"1130",1,3,44.2399912589999,5,206,6,0.7,2,"9MPV3",0
"1131",1,4,50.810692604,7,420,9,0.5,2,"9MPV3",0
"1132",1,4,55.327135942,-7,5,8,0.6,1,"9MPV3",0
"1133",1,1,60.0616634440003,-5,197,6,0.3,2,"9MPV3",0
"1134",1,4,65.2612952039999,-7,28,6,0.4,1,"9MPV3",0
"1135",1,1,69.8368415529999,-5,429,6,0.1,1,"9MPV3",0
"1136",1,1,75.2770065539999,7,272,6,0.2,1,"9MPV3",0
"1137",1,4,80.362075905,-7,204,6,0.7,1,"9MPV3",0
"1138",1,4,84.7737371819999,5,133,9,0.5,2,"9MPV3",0
"1139",1,4,89.2450115750003,-7,429,6,0.6,1,"9MPV3",0
"1140",1,4,94.2629311310002,-5,314,6,0.3,1,"9MPV3",0
"1141",1,1,0.0331479890000992,-7,391,8,0.3,1,"9MPV3",1
"1142",1,1,5.612847848,7,124,9,0.1,1,"9MPV3",1
